RecordTime,PSS-main-29179(MB),extra,SimpleTime
1669277684691,755.8369,,1.215
1669277685695,756.94336,,2.219
1669277686750,758.2207,,3.274
1669277687744,758.85547,,4.268
1669277688744,761.8711,,5.268
1669277689678,764.90234,,6.202
1669277690766,767.98926,,7.29
1669277691725,770.3076,,8.249
1669277692762,774.33496,,9.286
1669277694273,780.4463,,10.797
1669277684691,755.8369,,1.215
1669277685695,756.94336,,2.219
1669277686750,758.2207,,3.274
1669277687744,758.85547,,4.268
1669277688744,761.8711,,5.268
1669277689678,764.90234,,6.202
1669277690766,767.98926,,7.29
1669277691725,770.3076,,8.249
1669277692762,774.33496,,9.286
1669277694273,780.4463,,10.797
1669280718230,953.56934,,3034.754
